,avg_screens,budget,budget_currency,closing_date,critic_review_count,duration,gross_income,max_screens,metascore,name,num_weekends,opening_weekend_date,opening_weekend_income,opening_weekend_income_currency,rating,rating_count,release_day,release_month,release_year,user_review_count,year,avg_rating_per_demo.aged_18-29,avg_rating_per_demo.aged_30-44,avg_rating_per_demo.aged_45+,avg_rating_per_demo.aged_under_18,avg_rating_per_demo.females,avg_rating_per_demo.females_aged_18-29,avg_rating_per_demo.females_aged_30-44,avg_rating_per_demo.females_aged_45+,avg_rating_per_demo.females_under_18,avg_rating_per_demo.imdb_staff,avg_rating_per_demo.imdb_users,avg_rating_per_demo.males,avg_rating_per_demo.males_aged_18-29,avg_rating_per_demo.males_aged_30-44,avg_rating_per_demo.males_aged_45+,avg_rating_per_demo.males_under_18,avg_rating_per_demo.non-us_users,avg_rating_per_demo.top_1000_voters,avg_rating_per_demo.us_users,votes_per_demo.aged_18-29,votes_per_demo.aged_30-44,votes_per_demo.aged_45+,votes_per_demo.aged_under_18,votes_per_demo.females,votes_per_demo.females_aged_18-29,votes_per_demo.females_aged_30-44,votes_per_demo.females_aged_45+,votes_per_demo.females_under_18,votes_per_demo.imdb_staff,votes_per_demo.imdb_users,votes_per_demo.males,votes_per_demo.males_aged_18-29,votes_per_demo.males_aged_30-44,votes_per_demo.males_aged_45+,votes_per_demo.males_under_18,votes_per_demo.non-us_users,votes_per_demo.top_1000_voters,votes_per_demo.us_users,rating_freq.1,rating_freq.10,rating_freq.2,rating_freq.3,rating_freq.4,rating_freq.5,rating_freq.6,rating_freq.7,rating_freq.8,rating_freq.9,genres.action,genres.adventure,genres.animation,genres.biography,genres.comedy,genres.crime,genres.drama,genres.family,genres.fantasy,genres.history,genres.horror,genres.music,genres.mystery,genres.romance,genres.sci-fi,genres.sport,genres.thriller,genres.war,genres.western
20,18.0,6000000.0,$,2014-02-21,26.0,90.0,11766.0,18.0,22.0,Barefoot,1.0,2014-02-21,11766.0,$,6.6,18257.0,,,,51.0,2014.0,6.8,6.3,6.4,6.8,6.6,6.8,6.4,6.5,7.0,,6.6,6.5,6.8,6.3,6.4,6.3,6.5,5.2,6.4,7569.0,5486.0,1466.0,53.0,7285.0,4363.0,2120.0,377.0,43.0,,18257.0,7840.0,3116.0,3294.0,1064.0,9.0,8915.0,136.0,2094.0,227.0,1825.0,207.0,398.0,785.0,1769.0,3710.0,5111.0,2905.0,1320.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21,25.0,5000000.0,$,2014-03-21,40.0,91.0,72273.0,25.0,40.0,Better Living Through Chemistry,1.0,2014-03-21,5337.0,$,6.3,11767.0,,,,31.0,2014.0,6.4,6.2,6.2,6.8,6.2,6.1,6.2,6.5,6.5,6.0,6.3,6.3,6.4,6.2,6.2,6.8,6.3,5.6,6.3,3623.0,5002.0,1343.0,10.0,2016.0,936.0,805.0,169.0,2.0,2.0,11767.0,8220.0,2648.0,4123.0,1135.0,8.0,6513.0,128.0,1830.0,144.0,433.0,102.0,207.0,567.0,1636.0,3502.0,3464.0,1330.0,382.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,10.0,,,2015-04-24,81.0,91.0,44577.0,10.0,34.0,Beyond the Reach,1.0,2015-04-17,30287.0,$,5.6,7128.0,,,,47.0,2014.0,5.6,5.5,5.7,6.9,5.6,5.7,5.4,5.9,9.0,,5.6,5.5,5.6,5.5,5.7,6.8,5.5,5.3,5.6,1265.0,3167.0,1351.0,15.0,565.0,150.0,272.0,107.0,1.0,,7128.0,5464.0,1100.0,2854.0,1223.0,14.0,3864.0,146.0,999.0,215.0,204.0,201.0,349.0,776.0,1593.0,2061.0,1191.0,410.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,74.85714285714286,10000000.0,$,2015-03-20,328.0,106.0,14479776.0,303.0,62.0,Big Eyes,7.0,2015-01-02,2610026.0,$,7.0,62059.0,25.0,December,2014.0,153.0,2014.0,7.1,6.8,6.9,7.6,7.1,7.2,7.0,7.1,7.9,6.5,7.0,6.9,7.0,6.8,6.9,7.5,6.9,6.6,7.0,22842.0,20555.0,5622.0,296.0,16767.0,8973.0,5317.0,1276.0,125.0,5.0,62059.0,34726.0,13561.0,14868.0,4230.0,166.0,30349.0,367.0,8709.0,370.0,3105.0,225.0,442.0,1146.0,3435.0,11538.0,24450.0,13464.0,3884.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,209.3846153846154,165000000.0,$,2015-05-08,390.0,102.0,222487711.0,451.0,74.0,Big Hero 6,13.0,2014-11-07,56215889.0,$,7.9,299631.0,7.0,November,2014.0,444.0,2014.0,7.9,7.7,7.6,8.3,8.2,8.3,8.0,7.9,8.7,7.9,7.9,7.7,7.9,7.6,7.6,8.1,7.7,7.2,7.9,125340.0,78828.0,12893.0,2726.0,56168.0,34044.0,13733.0,2219.0,941.0,33.0,299631.0,179821.0,89943.0,63906.0,10432.0,1760.0,126574.0,517.0,34856.0,1387.0,48570.0,502.0,965.0,2076.0,6349.0,20988.0,61889.0,98208.0,58697.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1481.125,53000000.0,$,2015-11-27,402.0,123.0,62563543.0,3188.0,68.0,Black Mass,8.0,2015-09-18,22635037.0,$,6.9,131375.0,18.0,September,2015.0,305.0,2015.0,7.0,6.8,6.9,7.3,6.8,6.9,6.7,7.1,7.4,7.3,6.9,6.9,7.0,6.8,6.9,7.2,6.8,6.4,7.0,47750.0,41237.0,9401.0,551.0,13219.0,6481.0,4383.0,1276.0,70.0,11.0,131375.0,91452.0,40753.0,36291.0,7973.0,478.0,58916.0,407.0,17950.0,1151.0,7757.0,609.0,1163.0,2734.0,8445.0,24809.0,47917.0,28387.0,8403.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,752.6363636363636,,,,73.0,116.0,90400000.0,945.0,66.0,Black or White,11.0,,,,7.5,107520.0,,,,163.0,1983.0,7.3,7.5,7.6,7.7,7.3,7.2,7.3,7.5,7.9,6.9,7.5,7.5,7.3,7.5,7.6,7.6,7.4,7.2,7.6,22270.0,47048.0,16412.0,142.0,10504.0,2968.0,4919.0,2237.0,15.0,16.0,107520.0,77408.0,19094.0,41599.0,13953.0,125.0,47967.0,723.0,28664.0,378.0,10031.0,257.0,545.0,1319.0,3904.0,12363.0,31836.0,33744.0,13143.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2567.5,70000000.0,$,2015-01-23,273.0,133.0,7097125.0,2568.0,51.0,Blackhat,2.0,2015-01-16,4415000.0,$,5.4,41841.0,16.0,January,2015.0,217.0,2015.0,5.4,5.3,5.6,5.9,5.2,5.1,5.1,5.6,5.8,4.0,5.4,5.4,5.4,5.3,5.6,5.9,5.4,5.0,5.4,12050.0,16697.0,4628.0,109.0,4488.0,1800.0,1791.0,573.0,21.0,9.0,41841.0,30579.0,10109.0,14669.0,3971.0,88.0,20855.0,298.0,5925.0,2079.0,1393.0,1716.0,2964.0,5373.0,9241.0,9369.0,6058.0,2739.0,909.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
29,1527.0,40000000.0,$,2014-08-22,173.0,117.0,46280507.0,3555.0,31.0,Blended,9.0,2014-05-23,18185000.0,$,6.5,91754.0,23.0,May,2014.0,191.0,2014.0,6.7,6.3,6.3,7.3,6.9,7.0,6.6,6.6,7.9,5.5,6.5,6.4,6.5,6.2,6.2,6.8,6.4,5.3,6.3,35141.0,27997.0,5639.0,670.0,22924.0,12538.0,6664.0,1250.0,327.0,6.0,91754.0,51688.0,22232.0,20949.0,4292.0,333.0,39883.0,337.0,11473.0,2237.0,9534.0,1405.0,2137.0,3776.0,8307.0,18684.0,24480.0,14772.0,6422.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
